Name,Formula,Annot..Source..Predicted.Compositions,Annot..Source..mzCloud.Search,Annot..Source..MassList.Search,Annot..DeltaMass..ppm.,Calc..MW,m.z,RT..min.,X..mzCloud.Results,mzCloud.Best.Match,mzCloud.Best.Match.Confidence,mzCloud.Best.Sim..Match,Mass.List.Match..metabolites.list_230424_ForCD,MS2,Area..N_FA1_000m_ldl01.raw..F167.,Area..N_FA1_000m_ldl02.raw..F206.,Area..N_FA1_000m_ldl03.raw..F245.,Area..N_FA1_000m_ldl04.raw..F284.,Area..N_FA1_000m_ldl05.raw..F323.,Area..N_FA1_000m_ldl06.raw..F362.,Area..N_FA1_000m_ldl07.raw..F401.,Area..N_FA1_000m_ldl08.raw..F439.,Area..N_FA1_000m_ldl09.raw..F477.,Area..N_FA1_000m_ldl10.raw..F519.,Area..N_FA1_000m_ldl11.raw..F559.,Area..N_FA1_000m_ldl12.raw..F597.,Area..N_FA1_000m_ldl13.raw..F635.,Area..N_FA1_000m_ldl14.raw..F675.,Area..N_FA1_000m_ldl15.raw..F715.,Area..N_FA1_000m_ldl16.raw..F754.,Area..N_FA1_000m_ldl17.raw..F795.,Area..N_FA1_000m_ldl18.raw..F836.,Area..N_FA1_000m_ldl19.raw..F877.,Area..N_FA1_000m_ldl20.raw..F918.
Itaconic acid,C5 H6 O4,Full match,Not the top hit,Full match,2.45,130.02693,129.01965,12.866,4,83.6,9.2,NA,Single match found,DDA for preferred ion,2994191.806,2058228.892,3933400.529,3191821.563,578821.2291,1874634.893,1799385.745,3840422.891,2299796.376,4361459.479,687654.0983,850114.5357,362920.1619,848546.0216,602390.1493,755521.1201,760027.8189,462219.5796,2668870.548,706894.9345
"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid",C6 H13 N O3,Full match,No results,Full match,0.8,147.08966,146.08238,12.115,0,NA,NA,NA,Single match found,DDA for preferred ion,3368901.84,8861872.201,12806740.7,3633774.748,1166004.578,3582426.584,3571886.669,4282503.496,6894756.692,5183478.913,6914147.674,4155380.308,3621250.789,4523400.859,1816892.503,6326427.264,6221688.562,1036774.607,2289808.528,2152129.417
5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,C11 H18 O4,Not the top hit,No results,Full match,-3.32,214.1198,213.11252,10.061,0,NA,NA,NA,Single match found,DDA for preferred ion,171987.7553,65770.8746,122419.8344,110311.6338,18496.95988,281092.3982,57779.852,125143.8363,302385.2217,72247.23853,99305.80342,190687.3918,73551.04153,148135.1452,135140.651,83674.31144,109427.0901,82959.55579,820733.6717,85325.84259
11(R)-HETE,C20 H32 O3,Not the top hit,No results,Full match,-1.32,320.23472,319.22745,2.325,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,144382.6513,172445.993,213424.6413,270114.27,24554.82103,139435.1064,69304.92058,306152.8816,152315.4036,303242.974,418254.1783,308614.4417,385244.1039,267534.0591,250835.4681,200311.3217,254899.7007,218938.6128,65881.41485,168194.1655
3-methyl-4-nitrobenzene-1-carbohydrazide isomer,C8 H9 N3 O3,Not the top hit,No results,Full match,1.6,195.0647,194.05743,19.035,0,NA,NA,NA,Single match found,No MS2,4452666.972,5567731.434,3538416.71,3424590.488,7182075.379,6661550.965,15779477.97,11778023.47,5244024.236,2673523.2,67992.90095,76917.7034,63812.35398,67439.45536,71583.51943,58120.08695,66121.99912,73411.72794,62701.44817,60055.4544
(S)-beta-Aminoisobutyric acid,C4 H9 N O2,Full match,Partial match,Full match,2.7,103.06361,102.05633,12.913,3,86.6,9.3,NA,Multiple matches found,DDA for preferred ion,32610.44295,21217.58893,24827.68212,26291.47001,15749.78724,22816.38065,1723853.445,26188.13578,2456682.601,35569.97776,894576.4764,1564355.105,329704.3677,586283.9224,1141622.689,109397.2544,1564447.353,1022745.69,2961067.533,461582.5384
Phenylacetaldehyde,C8 H8 O,Full match,No results,Full match,2.69,120.05784,119.05056,3.805,0,NA,NA,NA,Single match found,DDA for preferred ion,158733.7395,137525.9579,296211.3079,24600.69464,42537.69473,63686.61873,70627.92394,130305.1789,94570.11151,100032.1217,24027.3528,23883.23053,23437.31797,33713.5845,20170.2861,34726.31728,25270.62772,28304.64806,14078.60534,26936.75587
(S)-beta-Aminoisobutyric acid,C4 H9 N O2,Full match,Partial match,Full match,0.21,103.06335,102.05607,12.687,3,86.1,9.3,NA,Multiple matches found,DDA for preferred ion,1284637.142,1317034.488,1411688.241,142328.0266,80191.42401,280435.519,118671.082,267905.9277,1814009.025,44092.30072,752057.0914,316828.828,329704.3677,574119.3095,338910.2556,209182.0553,325810.8819,1068598.522,5105468.128,251868.0238
[Similar to: N-benzyl-N-methyl-N'-phenylurea; ΔMass: -0.0499 Da],C7 H16 N2 O5 S,Full match,Invalid mass,No results,-6.98,240.07632,239.06904,2.539,2,NA,NA,73.3,No matches found,DDA for preferred ion,301594.1934,953850.0986,258390.9422,198189.7788,8506735.15,736173.3121,2056971.07,1057152.243,88960.64053,177656.9354,9645.177875,9307.34913,8303.079142,7163.643178,7988.49641,9388.184936,8835.320074,5264.755458,7267.715134,4592.465094
"1-(4,7-Dimethylpyrazolo[5,1-c][1,2,4]triazin-3-yl)ethan-1-one",C9 H10 N4 O,Full match,Full match,No results,-7.8,190.08398,189.0767,13.818,1,75.1,67,NA,No matches found,DDA for preferred ion,8866.480177,8212.345995,9901.85612,2200748.162,18259.15001,46295.74795,57166.78283,10981.28487,158293.4766,29683.9635,243536.2407,248162.5139,179425.1653,281781.4882,645354.3173,744958.4561,265449.8065,711627.6927,1574687.67,121519.8545
L-Arginine,C6 H14 N4 O2,Full match,No results,Full match,-2.38,174.11126,173.10398,18.745,0,NA,NA,NA,Single match found,DDA for preferred ion,13568.74115,11406.85641,13211.60765,11774.91857,11812.71465,11484.01469,16609.36923,17082.89226,12393.72185,7187.630032,5085160.062,4372804.983,2995590.625,2969542.235,3785444.871,3088124.834,3956507.448,4252318.708,1670512.115,1811755.17
"[Similar to: N-Benzyl-N-(2-cyanoethyl)-N'-(2,3-dihydro-1-benzofuran-5-yl)urea; ΔMass: -142.0141 Da]",NA,No results,Invalid mass,No results,NA,179.13366,178.12638,3.78,17,NA,NA,69.1,No matches found,DDA for preferred ion,264166.7091,46831.38717,415278.5616,313181.763,15477.38316,52302.8384,66806.78621,371230.2718,78026.43496,23933.73915,32691.53668,45010.87129,86631.16791,64581.1091,28651.4682,71304.68508,29038.33762,129597.8874,30552.42691,100560.3493
2-Hydroxy-3-methylbutyric acid,C5 H10 O3,Full match,No results,Full match,-0.61,118.06292,117.05565,3.498,0,NA,NA,NA,Single match found,DDA for preferred ion,1276661.847,1367649.378,1905477.441,1475962.781,83199.08289,851590.0236,1698849.285,1466960.522,1387421.228,954382.9223,1114312.372,1694794.05,1714898.201,1777752.63,1260374.076,1960375.059,2572566.26,1442372.071,1507277.225,319761.8098
2-O-Methylascorbic acid,C7 H10 O6,Full match,No results,Full match,-1.2,190.04751,189.04023,17.052,0,NA,NA,NA,Single match found,DDA for preferred ion,55504.60588,47386.55738,60007.54837,1686030.064,65076.04185,91118.37047,344845.4906,323821.1042,113667.1649,51848.57591,131528.3036,104572.8937,267557.8314,539515.5444,669650.442,622239.0766,603610.6545,732406.3971,986003.4099,534359.5203
NA,C6 H12 O9 S,Not the top hit,No results,Full match,-0.59,260.02005,259.01277,10.147,0,NA,NA,NA,Single match found,DDA for preferred ion,5588.144952,5177.542649,6630.834649,6830.29764,5099.958667,8058.561094,25425.74524,11921.67817,18919.43739,11788.65503,6242.167879,4504.542592,4221.198675,3264.814899,3644.188252,3410.573487,3433.013629,3668.630472,4866.134349,3042.463017
Diethyl tartrate,C8 H14 O6,Full match,No results,Full match,7.47,206.08058,205.0733,18.16,0,NA,NA,NA,Single match found,DDA for preferred ion,7808277.593,7272351.981,7340946.992,6711857.116,5933567.7,6166776.84,14221755.98,11017571.54,7142835.22,2533012.061,789284.2549,803033.688,707406.5174,993942.4468,723140.9578,623149.1425,639960.766,561654.5005,347691.7958,342833.381
[Similar to: NP-005519; ΔMass: 31.9580 Da],C9 H19 N2 O5 P S,Full match,Invalid mass,No results,-5.89,298.07347,297.0662,4.642,4,NA,NA,53.3,No matches found,DDA for preferred ion,45782.08175,33797.78573,62827.2527,53046.80569,44013.68716,28280.69911,52783.17561,19410.39721,42710.55343,44460.63577,30387.02857,34556.53437,38491.62565,9868.540964,36408.31501,10301.46372,9663.154155,10197.60286,10670.80671,14180.70482
2-Hydroxydecanedioic acid,C10 H18 O5,Not the top hit,No results,Full match,1.04,218.11565,217.10837,3.343,0,NA,NA,NA,Single match found,DDA for preferred ion,13105.62785,267120.3136,64241.41878,56631.86143,6263796.806,370455.7172,1034314.942,68584.70482,188362.6645,93232.20655,5300.688947,52877.33474,34202.25233,71455.01895,27392.1023,50800.80468,35514.56759,9453.327768,72208.24386,23491.68971
Dihydrothymine,C5 H8 N2 O2,Full match,Partial match,Full match,2.13,128.05885,127.05157,14.622,1,65.4,8.3,NA,Single match found,DDA for preferred ion,2439378.924,1973198.193,2419997.472,2067107.115,896896.5031,1966436.596,3650494.893,2555174.968,1772492.246,3184253.506,1002103.348,726024.9348,755753.7073,722648.3826,657408.8232,669965.869,477917.8044,589546.9563,945077.9697,554073.4722
Succinylcarnitine,C11 H19 N O6,Full match,No results,Full match,-0.71,261.12105,260.11377,12.566,0,NA,NA,NA,Single match found,DDA for preferred ion,7206.834823,7841.412699,16735.99422,36232.13415,19808.11753,6736.949845,354385.8046,9596.009269,7619.538025,25933.88012,7953.204226,5249.377235,5979.604039,3863.464793,3523.370673,4036.627651,4341.360828,3507.292831,6798.785734,7368.283046
melibiouronic acid isomer,C12 H20 O12,Not the top hit,No results,Full match,1.83,356.09613,355.08885,15.005,0,NA,NA,NA,Single match found,DDA for preferred ion,40873.45259,17106.36561,21619.30138,29866.69609,4561.54103,11527.2499,12109.71183,21605.5962,9499.101152,26814.4415,6879.934276,23711.90927,11689.33788,36929.64284,11959.77403,11977.91965,6059.556624,1585.342842,3250.966568,2137.291271
D-Galactose,C6 H12 O6,Full match,No results,Full match,-2.33,180.06297,179.05569,14.533,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,15566.23838,37594.08663,16158.57315,31182.87111,5154.54586,13807.45246,18533.5986,49569.31313,137215.8271,23137.88511,261348.2737,244647.9334,45718.44827,299892.5934,174340.7658,186751.9576,199089.7627,1371514.796,660817.0462,25296.81193
Cortisol 21-sulfate,C21 H30 O8 S,Not the top hit,No results,Full match,0.03,442.16615,441.15888,2.223,0,NA,NA,NA,Single match found,DDA for preferred ion,46470.54938,63153.23077,66108.34403,109407.3629,27942.95523,66780.04412,64474.34076,119556.0811,48953.12149,104992.8617,73519.0099,40772.67803,53371.12677,33987.01478,40929.16973,37393.2774,34612.42422,31760.57993,21516.93785,24955.15417
3-(2-Hydroxyphenyl)propanoic acid,C9 H10 O3,Full match,Invalid mass,Full match,0.55,166.06308,165.05581,2.791,2,NA,NA,52.4,Multiple matches found,DDA for preferred ion,1115649.127,624720.421,889519.3754,1457839.586,40349.60075,717390.0688,1016733.806,1036479.829,1132308.649,1130903.1,577893.4424,1035636.901,581320.5012,870006.0423,713957.5482,844130.9845,1851193.471,141556.2447,668774.1586,732052.1391
Acetylglycine,C4 H7 N O3,Full match,No results,Full match,-2.26,117.04233,116.03505,8.423,0,NA,NA,NA,Single match found,DDA for preferred ion,4673252.435,339385.7498,286988.0169,271269.5406,940948.4623,430159.0072,1922812.74,568223.2701,233255.0999,1179384.223,179553.5955,165846.7544,104759.4793,308645.8021,27488.28741,260997.9274,325753.2725,229693.0588,92363.90439,44646.16986
Glyoxylic acid,C2 H2 O3,Full match,Full match,No results,1.67,74.00052,72.99324,17.6,1,82.2,9.1,NA,No matches found,DDA for preferred ion,996936.522,1601622.324,1140696.437,1382177.066,1128757.581,1140975.035,5306712.783,2473244.306,1978356.746,1862367.452,906859.9057,903043.8839,1164846.919,1118496.117,1037813.777,832303.5457,677601.7898,1010942.23,1593805.764,287255.6381
Nicotinuric acid,C8 H8 N2 O3,Full match,No results,Full match,-0.97,180.05332,179.04604,2.846,0,NA,NA,NA,Single match found,DDA for preferred ion,354272.0632,581947.8344,219175.1532,241766.0109,4056931.355,380130.2317,15977217.92,143791.8761,320706.5736,159778.9624,48284.54323,78208.24659,41221.16524,62070.82514,52212.16741,71646.97758,77012.51824,41991.02364,38818.04749,34369.77442
"[Similar to: δ-Ribono-1,4-lactone; ΔMass: 42.0938 Da]",C8 H18 N2 O3,Full match,Invalid mass,No results,-4.16,190.13095,189.12368,7.818,2,NA,NA,64.1,No matches found,DDA for preferred ion,17751.3196,21284.54713,22184.89658,17871.05827,41124.83276,29444.35977,59040.37651,20728.4334,19863.4289,15510.71174,55246.57011,69586.51847,33912.7549,45693.9161,39134.39118,65225.18753,55294.04841,21734.87506,24628.95343,9901.187022
L-Cystine,C6 H12 N2 O4 S2,Full match,Full match,Full match,2.35,240.02441,239.01713,15.502,1,71.8,46.3,NA,Single match found,DDA for preferred ion,2861769.077,4172126.821,3588297.333,3298666.79,1172587.536,4101380.376,625292.554,4379605.532,2434410.889,4105893.431,745002.8982,863841.684,916227.2372,922381.0324,1038855.842,450283.5156,586925.9155,380607.5846,981108.4164,424400.1059
Ascorbic acid,C6 H8 O6,Not the top hit,No results,Full match,0.04,176.03209,175.02482,14.22,0,NA,NA,NA,Single match found,DDA for preferred ion,7365.891976,13604.19653,15127.60703,17029.68654,3907.724329,13713.0196,17058.3483,5184.822117,8256.503493,6249.034009,173572.676,6532.739278,18001.91917,575268.8444,11653.82189,26912.37537,189078.1702,847908.7225,449989.5464,190981.5501
"[Similar to: thiophene-2-carbaldehyde 2-[5-(3,4-dihydro-2H-1,5-benzodioxepin-7-yl)-1,3-thiazol-2-yl]hydrazone; ΔMass: -260.0327 Da]",C3 H3 N3 O,Full match,Invalid mass,No results,2.59,97.02786,96.02059,9.76,14,NA,NA,60.5,No matches found,DDA for preferred ion,2200396.322,379876.1642,588066.73,1812427.516,477868.2025,273302.1132,4666908.089,341628.9666,295445.5568,1991742.155,22232.6125,29313.12811,14411.58685,30922.44709,20633.69125,26164.11329,18941.21819,8285.249867,22422.75667,10980.53744
hydroxymandelic acid isomer,C8 H8 O4,Not the top hit,No results,Full match,1.95,168.04259,167.03531,13.887,0,NA,NA,NA,Single match found,DDA for preferred ion,129219.6618,996444.2453,151148.0115,180564.8851,116430.4208,81824.36348,12613763.5,135023.3729,71551.00089,155239.671,218753.7133,1822260.304,214292.3995,180182.7637,222431.0433,1790589.003,160246.4248,145295.4866,1206782.187,158178.8953
NA,C16 H16 O4 S,Not the top hit,No results,Full match,7.71,304.07927,303.072,9.086,0,NA,NA,NA,Single match found,DDA for preferred ion,9044.452147,9570.71643,14457.63838,11049.90043,11786.92808,8734.122937,63133.95293,11781.38591,8756.42218,25656.06996,8038.114442,5465.030735,5075.97587,5036.32555,4881.046545,4678.168037,18511.3256,3419.729763,8406.077052,4025.925281
pro thr isomer,C9 H16 N2 O4,Full match,No results,Full match,7.48,216.11262,215.10535,8.605,0,NA,NA,NA,Single match found,DDA for preferred ion,51594.56545,252836.8956,922799.5496,960288.6634,782752.5799,792464.2432,3491005.289,371737.715,30877.83221,2361203.918,222636.298,144351.0073,65557.25516,14408.14101,70809.44679,11171.4019,6972.122255,4448.722595,38403.01975,20043.74372
"2',4'-Dihydroxyacetophenone",C8 H8 O3,Full match,Partial match,Full match,0.36,152.0474,151.04012,2.399,5,58.6,7.9,NA,Multiple matches found,DDA for preferred ion,282816.3189,117487.017,583660.1342,835640.7698,610645.8908,532889.5187,1376998.667,426066.2193,259264.7454,255596.2807,125299.6887,158531.4546,197728.6854,611777.8674,551641.7547,1092283.927,1483346.449,266914.2136,972669.5842,187842.4469
D-glycero-L-galacto-Octulose,C8 H16 O8,Not the top hit,No results,Full match,1.14,240.08479,239.07751,15.184,0,NA,NA,NA,Single match found,DDA for preferred ion,1271322.089,910396.5358,1195579.73,1020630.299,263192.5665,808578.0682,832029.5955,1253012.039,1310743.656,1876959.288,497822.1753,584134.476,507564.5934,515174.0829,378011.0526,451804.3475,374494.0374,742831.3163,447402.0337,177128.1771
Isobutyrylglycine,C6 H11 N O3,Full match,No results,Full match,1.89,145.07417,144.06689,14.197,0,NA,NA,NA,Single match found,DDA for preferred ion,1202487.572,629149.9087,640670.8449,480614.3868,528011.3026,345681.4904,61249.42117,341127.635,833772.8041,119614.3942,2120969.734,2022244.717,1205216.561,1633027.281,555935.7264,1491404.473,1323759.515,1048092.28,1433136.679,421466.636
2-Hydroxydecanedioic acid,C10 H18 O5,Not the top hit,No results,Full match,0.2,218.11547,217.10819,3.069,0,NA,NA,NA,Single match found,DDA for preferred ion,64092.21805,667093.9823,245868.1499,159612.043,3591330.089,1108869.464,4619639.297,231758.8799,188362.6645,201278.5859,52536.78446,124186.0294,76631.75094,149869.62,74372.24449,62253.78812,130351.386,84492.5343,310639.71,172811.9353
"3,3-Dimethylglutaric acid",C7 H12 O4,No match,Invalid mass,No results,10.4,160.07522,159.06795,18.294,11,74.8,8.7,57.8,No matches found,DDA for preferred ion,7991909.453,8763112.437,7957628.085,6908653.961,7252106.624,6407146.253,15724040.53,10970647.73,6896507.852,2315899.43,1233713.396,1255204.842,1105732.05,1053225.824,1130326.218,974031.1432,1000309.034,877910.179,543469.6355,535875.5509
"[Similar to: 3,4-Dihydroxybenzenesulfonic acid; ΔMass: 0.0174 Da]",C6 H6 O7,Full match,Invalid mass,No results,-1.68,190.01103,189.00376,2.648,1,NA,NA,57.9,No matches found,DDA for preferred ion,1373449.161,410335.9661,1974093.622,966104.7645,221223.3003,805251.0941,647379.0951,1178528.486,1536691.28,3565932.972,281805.7173,1550196.742,765531.5688,1789237.648,1486286.111,3421218.898,3656453.097,2480838.27,263053.083,788890.624
adynerin  isomer,C30 H44 O7,Unused,No results,Full match,5.28,516.31143,515.30416,2.102,0,NA,NA,NA,Single match found,DDA for preferred ion,27794.06071,21684.84162,40023.11572,32326.81233,27290.38927,32282.75481,50961.50839,62796.98553,28144.35541,52520.3227,51962.37504,539806.7858,55743.73342,21743.04252,9359.178746,85181.63957,19926.55842,13682.44151,10770.57609,19318.83177
"[Similar to: ethyl 2-methyl-7-oxo-4,7-dihydropyrazolo[1,5-a]pyrimidine-6-carboxylate; ΔMass: -72.0015 Da]",C4 H11 N3 O3,Full match,Invalid mass,No results,-9.74,149.07859,148.07131,12.093,2,NA,NA,57.2,No matches found,DDA for preferred ion,853045.3492,1264502.15,1770233.126,1638817.288,933177.655,557546.2032,15697560.53,1266045.95,27953.77127,3417497.186,34631.57121,25073.94291,25629.12254,24141.01106,21563.40298,22662.75774,27467.20317,17269.27618,31740.45394,22322.1953
2-Hydroxydecanedioic acid,C10 H18 O5,Full match,No results,Full match,-2.16,218.11495,217.10767,13.411,0,NA,NA,NA,Single match found,DDA for preferred ion,85676.07007,74750.7184,408983.4724,175360.4582,76396.27781,359744.0666,1381970.641,1107849.946,83067.20932,143113.3854,113414.0013,83631.84169,83253.65383,79508.04006,238809.6537,270034.8557,67094.88629,245660.3254,454673.6963,59147.76163
[Similar to: NP-021074; ΔMass: -54.1781 Da],C3 H9 O2 P3 S,Full match,Invalid mass,No results,-3.34,201.95293,200.94566,15.04,10,NA,NA,50.8,No matches found,DDA for preferred ion,2814926.149,5853541.679,6258465.311,7906289.34,6890958.363,8436335.78,4681993.8,7888472.413,5279119.418,6735844.629,656412.9761,1031153.493,830229.7228,951493.9683,641439.2514,540441.6553,283144.8614,14739.6824,493767.3689,351265.4419
L-Asparagine,C4 H8 N2 O3,Full match,Invalid mass,Full match,-1.58,132.05328,131.04601,13.905,3,NA,NA,55.3,Multiple matches found,DDA for preferred ion,610400.1359,665664.2555,606997.6885,28859.66919,1941583.892,193483.0866,93015.68888,445565.9961,127873.3917,534153.43,14630.03546,9328.88762,237954.5308,228608.5531,310029.8983,7350.245078,319063.4785,1482339.085,477451.4963,439472.1601
D-glycero-L-galacto-Octulose,C8 H16 O8,Not the top hit,No results,Full match,6.3,240.08603,239.07875,4.824,0,NA,NA,NA,Single match found,No MS2,27613.72663,22500.5187,12985.26706,14048.6761,61314.58161,35050.61079,63520.44699,13357.39566,10183.81873,19834.89042,16798.67698,10725.47075,11119.54247,10855.41488,14672.42589,10512.95779,16133.27288,12756.14257,11097.53837,9992.658265
[Similar to: N-benzyl-N-methyl-N'-phenylurea; ΔMass: -90.1093 Da],C5 H10 O S2,Full match,Invalid mass,No results,-2.29,150.01696,149.00969,2.306,3,NA,NA,62.2,No matches found,DDA for preferred ion,332084.6713,918261.0263,616844.6887,972435.1947,287584.2993,1231301.489,247601.7388,1548346.418,767701.4368,1139522.618,469710.2273,256347.9505,4367338.466,296329.5916,182487.4035,241730.8418,330498.0944,145680.6435,2464556.62,71549.61341
Mangostanol,C24 H26 O7,No match,No results,Full match,9.22,426.17178,425.16451,2.188,0,NA,NA,NA,Single match found,DDA for preferred ion,108311.5356,118211.0736,140365.9625,194705.9906,42228.47089,131507.5624,120049.6072,254325.5334,98424.63125,192910.293,131652.9624,94013.6892,99594.76286,71492.54392,72108.23546,61651.54566,71945.21175,56926.96239,49588.69042,68683.16611
6-Methylnicotinamide,C8 H10 N2 O,Full match,No results,Full match,2.17,150.07964,149.07236,4.147,0,NA,NA,NA,Single match found,DDA for preferred ion,355656.95,2138760.399,214107.5442,300214.0082,3580908.549,1180056.705,3278866.887,366017.4032,72193.10533,245760.0763,20850.34117,33555.52117,24102.46983,34223.97232,23436.51737,26873.06232,27605.43556,16521.56344,37520.01819,19757.35585
NA,C16 H16 O4 S,No match,No results,Full match,9.47,304.07981,303.07253,9.183,0,NA,NA,NA,Single match found,DDA for preferred ion,11416.18203,10469.17459,17057.72237,14945.55708,18249.29854,9894.966129,73005.33126,15022.92758,10830.83021,30493.94018,11015.88685,6984.172913,6697.521867,6133.673002,6677.983214,5772.338444,6043.810397,4368.426508,10849.70687,5142.791956
hydroxynonenoic acid  isomer,C9 H16 O3,Full match,No results,Full match,1.86,172.11026,171.10299,3.991,0,NA,NA,NA,Single match found,DDA for preferred ion,3443249.033,4280429.267,2787392.451,2744817.412,1041949.461,3182623.718,2618852.095,3362325.676,2798025.571,5356388.544,1064440.62,1305862.312,924906.7549,1045002.105,625262.2352,901217.7506,899155.2038,299938.6887,2176194.421,603237.9433
"LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",C25 H42 N O7 P,No match,Invalid mass,Full match,3.34,499.27156,498.26428,3.867,7,NA,NA,80.9,Single match found,DDA for preferred ion,204912.9817,299989.8217,926237.5721,1894922.108,35616.86115,364836.5978,387673.9682,1002579.809,264548.6249,940090.773,92411.08865,2675515.622,1067235.315,1235188.278,182902.7137,1038138.682,345880.9314,190378.0217,1118665.547,1365940.007
(S)-beta-Aminoisobutyric acid,C4 H9 N O2,Full match,Partial match,Full match,1.92,103.06353,102.05625,13.271,3,86.1,9.3,NA,Multiple matches found,DDA for preferred ion,3215737.269,4074337.772,5221503.66,4540046.067,1556866.506,5512231.536,2128360.953,8341368.588,4559869.071,9262704.043,3888792.259,3819317.494,1623829.983,1992179.457,2623292.21,3421166.738,4217450.505,835912.3188,4397289.234,647165.3676
N-Heptanoylglycine,C9 H17 N O3,Full match,No results,Full match,0.57,187.12095,186.11367,3.783,0,NA,NA,NA,Single match found,DDA for preferred ion,60177.00075,20898.02162,21424.56471,21463.85089,37113.69741,29157.16545,61622.13102,26887.77187,24304.29167,39650.57289,90078.94841,93016.33173,71307.54489,72560.16768,52459.3967,57040.20555,41639.17361,34322.77615,32509.02384,25669.68536
"7-(4-methylpiperazino)pyrimido[4,5-d]pyrimidine-2,4(1h,3h)-dithione isomer",C11 H14 N6 S2,No match,No results,Full match,9.34,294.07488,293.06761,10.077,0,NA,NA,NA,Single match found,DDA for preferred ion,4712.828172,3850.877613,6171.851971,5345.942293,5432.171611,4147.172482,25714.88735,4954.07828,4033.604307,9865.325828,5223.602148,3153.183557,3603.477273,2885.348946,3187.895162,2976.842017,3129.10511,2387.377127,43721.43412,2657.111807
Myristic acid,C14 H28 O2,Full match,Full match,Full match,-1.8,228.20852,227.20124,3.139,3,61.9,8.1,NA,Single match found,DDA for preferred ion,649344.4691,575695.7314,998486.4005,704304.434,1103782.458,1125716.359,548245.8359,904929.785,1169386.812,630630.9192,3072944.851,3690004.107,1630927.611,2820298.991,5839549.692,5094282.84,1948020.991,1642023.05,12099238,877560.569
Ascorbic acid,C6 H8 O6,Full match,No results,Full match,2.09,176.03245,175.02518,13.838,0,NA,NA,NA,Single match found,DDA for preferred ion,121500.5605,156931.8315,919330.976,1320822.16,73097.69506,594408.5528,15443439.68,119892.8675,20400.07841,54414.55419,6955.74601,7044.73021,9644.440359,49933.80032,5721.323724,8701.974823,7404.463842,851509.2965,178977.6471,24632.11671
"[Similar to: (3-hydroxy-4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)methyl 4-hydroxy-3,5-dimethoxybenzoate; ΔMass: -248.2106 Da]",C3 H6 O6 S3,Full match,Invalid mass,No results,-3.63,233.9318,232.92453,1.113,5,NA,NA,62.6,No matches found,DDA for preferred ion,288035.4792,131417.7295,43754.17137,29816.29668,33059.60867,125250.3737,98359.51972,235097.5106,220608.7058,122366.8821,770719.5731,1035520.605,1301276.304,663673.5994,1640085.655,447911.4817,516396.8474,417628.4028,332584.1305,250245.2018
"[Similar to: (3-hydroxy-4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)methyl 4-hydroxy-3,5-dimethoxybenzoate; ΔMass: -248.2108 Da]",C6 H2 O6 S2,Invalid mass,Invalid mass,No results,10.15,233.93165,232.92438,1.444,5,NA,NA,62.6,No matches found,DDA for preferred ion,183767.1979,76491.49316,43754.17137,33634.52818,125778.7774,156711.2731,76711.3969,192248.8412,494477.362,122366.8821,663528.5887,968195.7381,811999.6148,593086.0107,1640085.655,417780.8295,472615.1328,156237.9458,332584.1305,250245.2018
"1,2,3-Trihydroxybenzene",C6 H6 O3,Full match,No results,Full match,2.67,126.03203,125.02475,16.735,0,NA,NA,NA,Single match found,DDA for preferred ion,1744346.272,494661.936,488989.2712,376823.7607,84367.89841,338414.4829,1646787.147,551577.5581,628483.2302,181196.3016,242158.281,361058.0051,178163.8323,446209.2618,278350.6441,128089.9728,253079.01,167025.7253,853700.0175,123136.8099
indole-quinone isomer,C8 H5 N O2,Full match,No results,Full match,1.77,147.03229,146.02501,2.739,0,NA,NA,NA,Single match found,DDA for preferred ion,1569169.71,772043.1565,1664317.274,2057377.081,1092999.748,1707851.923,503220.4181,1364386.124,2325505.701,1580542.206,1299062.546,1625506.063,911876.3121,974518.6008,890087.9392,858632.5708,663115.2516,863398.1623,654335.5368,451533.9018
n-acetylkynurenine isomer,C12 H14 N2 O4,Not the top hit,No results,Full match,6.92,250.09709,249.08981,8.717,0,NA,NA,NA,Single match found,DDA for preferred ion,165583.9396,235868.8307,476700.3041,1336737.416,755863.5823,464390.9121,4224667.727,362430.6752,15105.16504,1863926.734,11133.20462,8435.698177,6688.657037,7823.605655,8263.722964,8757.403429,7246.713574,5237.927046,46187.80884,8080.636804
3-methyl-4-nitrobenzene-1-carbohydrazide isomer,C8 H9 N3 O3,Full match,No results,Full match,0.12,195.06441,194.05714,8.705,0,NA,NA,NA,Single match found,DDA for preferred ion,3109272.07,1113370.132,1518498.18,860170.3972,819037.696,459933.7046,15369646.85,701204.7677,441298.4205,1319073.615,290274.8479,10169.1416,4384.710715,6958.267409,5541.198524,8649.93843,46747.04205,21221.9127,30971.00656,5292.302927
